kind,label,angle_deg,det_rotation,pca_sign_parity,pca_signs,pca_basis_offdiag,d2_shape,sliced_wasserstein,sliced_wasserstein_sign_spread,occupancy_dice,occupancy_resolution,scale_log_ratio
z_sweep,z_215,215.0,1.0,-1,-++,1.1228038197642224e-15,0.0012572376974890804,0.03846190335398335,0.03911966728071886,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_220,220.0,0.9999999999999998,-1,-++,8.504908230868953e-16,0.0012572376974890843,0.038461903353983355,0.03911966728071884,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_225,225.0,1.0000000000000002,-1,-++,1.317538683239511e-15,0.0012572376974890793,0.03846190335398334,0.03911966728071887,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_230,230.0,1.0,-1,-++,2.045326314677817e-15,0.0012572376974890795,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_235,235.0,0.9999999999999999,-1,-++,7.155509128342342e-16,0.0012572376974890843,0.03846190335398334,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_240,240.0,1.0,-1,-++,1.3348602329412836e-15,0.0012572376974890845,0.038461903353983355,0.03911966728071884,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_245,245.0,0.9999999999999999,-1,-++,4.907124364025601e-16,0.0012572376974890878,0.03846190335398334,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_250,250.0,1.0,-1,-++,7.85990603146806e-16,0.001257237697489089,0.038461903353983334,0.039119667280718876,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_255,255.0,0.9999999999999999,-1,-++,1.041836798803899e-14,0.0012572376974890878,0.03846190335398337,0.03911966728071881,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_260,260.0,0.9999999999999999,-1,---,1.6851757364436658e-15,0.0012572376974890882,0.03846190335398334,0.03911966728071887,0.6274509803921569,1.9142807884020079,0.0
